,url,time
341,http://localhost:5000/vulnerable/1/page?id=1,2.30179
342,http://localhost:5000/vulnerable/1/page?id=1,3.646011
343,http://localhost:5000/vulnerable/1/page?id=1,1.429749
344,http://localhost:5000/vulnerable/1/page?id=1,3.632314
345,http://localhost:5000/vulnerable/1/page?id=1,2.128001
346,http://localhost:5000/vulnerable/1/page?id=1,1.895352
347,http://localhost:5000/vulnerable/1/page?id=1,6.745684
348,http://localhost:5000/vulnerable/1/page?id=1,2.526152
349,http://localhost:5000/vulnerable/1/page?id=1,3.111103
350,http://localhost:5000/vulnerable/1/page?id=1,2.074291
351,http://localhost:5000/vulnerable/1/page?id=1,5.71574
352,http://localhost:5000/vulnerable/1/page?id=1,2.593392
353,http://localhost:5000/vulnerable/1/page?id=1,1.59943
354,http://localhost:5000/vulnerable/1/page?id=1,3.527385
355,http://localhost:5000/vulnerable/1/page?id=1,1.321011
356,http://localhost:5000/vulnerable/1/page?id=1,1.547646
357,http://localhost:5000/vulnerable/1/page?id=1,2.097099
358,http://localhost:5000/vulnerable/1/page?id=1,1.876998
359,http://localhost:5000/vulnerable/1/page?id=1,2.269354
360,http://localhost:5000/vulnerable/1/page?id=1,1.991166
361,http://localhost:5000/vulnerable/1/page?id=1,1.536242
362,http://localhost:5000/vulnerable/1/page?id=1,1.836668
363,http://localhost:5000/vulnerable/1/page?id=1,4.819858
364,http://localhost:5000/vulnerable/1/page?id=1,4.196108
365,http://localhost:5000/vulnerable/1/page?id=1,4.026436
366,http://localhost:5000/vulnerable/1/page?id=1,2.65798
367,http://localhost:5000/vulnerable/1/page?id=1,2.178142
368,http://localhost:5000/vulnerable/1/page?id=1,2.629971
369,http://localhost:5000/vulnerable/1/page?id=1,2.369578
370,http://localhost:5000/vulnerable/1/page?id=1,5.006107
371,http://localhost:5000/vulnerable/1/page?id=1,2.578683
372,http://localhost:5000/vulnerable/1/page?id=1,2.50123
373,http://localhost:5000/vulnerable/1/page?id=1,5.205202
374,http://localhost:5000/vulnerable/1/page?id=1,2.56614
375,http://localhost:5000/vulnerable/1/page?id=1,2.074687
376,http://localhost:5000/vulnerable/1/page?id=1,3.40001
377,http://localhost:5000/vulnerable/1/page?id=1,3.326648
378,http://localhost:5000/vulnerable/1/page?id=1,2.614524
379,http://localhost:5000/vulnerable/1/page?id=1,2.208832
380,http://localhost:5000/vulnerable/1/page?id=1,2.59813
381,http://localhost:5000/vulnerable/1/page?id=1,2.271715
382,http://localhost:5000/vulnerable/1/page?id=1,1.629289
383,http://localhost:5000/vulnerable/1/page?id=1,3.421489
384,http://localhost:5000/vulnerable/1/page?id=1,2.632174
385,http://localhost:5000/vulnerable/1/page?id=1,2.972634
386,http://localhost:5000/vulnerable/1/page?id=1,1.152556
387,http://localhost:5000/vulnerable/1/page?id=1,1.820793
388,http://localhost:5000/vulnerable/1/page?id=1,7.253858
389,http://localhost:5000/vulnerable/1/page?id=1,3.271115
390,http://localhost:5000/vulnerable/1/page?id=1,0.799464
391,http://localhost:5000/vulnerable/1/page?id=1,2.453865
392,http://localhost:5000/vulnerable/1/page?id=1,1.544087
393,http://localhost:5000/vulnerable/1/page?id=1,1.795099
394,http://localhost:5000/vulnerable/1/page?id=1,1.832066
395,http://localhost:5000/vulnerable/1/page?id=1,2.134226
396,http://localhost:5000/vulnerable/1/page?id=1,5.631744
397,http://localhost:5000/vulnerable/1/page?id=1,2.382312
398,http://localhost:5000/vulnerable/1/page?id=1,1.357657
399,http://localhost:5000/vulnerable/1/page?id=1,5.19678
400,http://localhost:5000/vulnerable/1/page?id=SLEEP(0.8),5.045104
401,http://localhost:5000/vulnerable/1/page?id=SLEEP(0.8),9.720922
402,http://localhost:5000/vulnerable/1/page?id=SLEEP(0.8),5.30011
403,http://localhost:5000/vulnerable/1/page?id=SLEEP(0.8),5.403461
404,http://localhost:5000/vulnerable/1/page?id=SLEEP(0.8),7.887347
405,http://localhost:5000/vulnerable/1/page?id=SLEEP(0.8),7.317263
406,http://localhost:5000/vulnerable/1/page?id=SLEEP(0.8),6.595196
407,http://localhost:5000/vulnerable/1/page?id=SLEEP(0.8),8.15968
408,http://localhost:5000/vulnerable/1/page?id=SLEEP(0.8),8.572826
409,http://localhost:5000/vulnerable/1/page?id=SLEEP(0.8),9.159276
410,http://localhost:5000/vulnerable/1/page?id=SLEEP(0.8),8.976814
411,http://localhost:5000/vulnerable/1/page?id=SLEEP(0.8),7.493541
412,http://localhost:5000/vulnerable/1/page?id=SLEEP(0.8),6.942769
413,http://localhost:5000/vulnerable/1/page?id=SLEEP(0.8),7.884512
414,http://localhost:5000/vulnerable/1/page?id=SLEEP(0.8),6.833973
415,http://localhost:5000/vulnerable/1/page?id=SLEEP(0.8),6.131849
416,http://localhost:5000/vulnerable/1/page?id=SLEEP(0.8),6.367898
417,http://localhost:5000/vulnerable/1/page?id=SLEEP(0.8),7.730407
418,http://localhost:5000/vulnerable/1/page?id=SLEEP(0.8),9.915056
419,http://localhost:5000/vulnerable/1/page?id=SLEEP(0.8),6.730546
420,http://localhost:5000/vulnerable/1/page?id=SLEEP(0.8),5.632689
